sample_idx,pair_idx,target,bin_i,bin_j,rho_true,rho_mean,rho_variance,rho_std,mean_minus_truth,abs_mean_minus_truth
7,11,density,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,1,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,2,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,3,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,4,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,5,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,6,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,7,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,8,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,9,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,10,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,11,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,12,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,13,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,14,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,15,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,16,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,17,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,18,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,19,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,20,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,21,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,22,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,23,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,24,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,25,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,26,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,27,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,28,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,29,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,30,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,31,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,32,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,33,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,34,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,35,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,36,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,37,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,38,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,39,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,40,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,41,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,42,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,43,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,44,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,45,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,46,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,47,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,48,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,49,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,50,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,51,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,52,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,53,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,54,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,55,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,56,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,57,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,58,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,59,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,60,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,61,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,62,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,0,63,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,0,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,1,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,2,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,3,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,4,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,5,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,6,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,7,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,8,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,9,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,10,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,11,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,12,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,13,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,14,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,15,0.0,0.0,0.0,0.0,0.0,0.0
7,11,density,1,16,0.0,0.0,0.0,0.0,0.0,0.0
